Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
[🎃] untitled boxing game🥊,drowningsome,Ages 9+,6890,793616,676.4M+,Supported,Not Supported,6/2/2023,11/4/2024,20,Sports &amp; Racing,743K+,119K+,https://www.roblox.com/games/13621938427/untitled-boxing-game?gameSearchSessionInfo=ac5f8501-b879-48f8-ac3a-1768bff3af90&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13621938427&amp;position=0&amp;universeId=4730278139,11/6/2024 21:57
Anime Racing Clicker 🍜,Clicker House,All Ages,236,159371,105.7M+,Not Supported,Not Supported,8/26/2022,10/21/2024,18,Simulation,81K+,8090,https://www.roblox.com/games/10714365287/Anime-Racing-Clicker?gameSearchSessionInfo=2842d29b-acf6-4331-b635-9e6ddb106278&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10714365287&amp;position=0&amp;universeId=3878727131,11/6/2024 21:58
[🎃FREE UGC🧻]Skibidi Toilet Battle,Skibidi Toilet Boom Studio,All Ages,2674,787584,67.1M+,Supported,Supported,4/16/2024,11/6/2024,25,Strategy,74K+,3473,https://www.roblox.com/games/17166519103/FREE-UGC-Skibidi-Toilet-Battle?gameSearchSessionInfo=ca2fed22-58ef-48ae-a66c-38ccb2a13dc6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17166519103&amp;position=0&amp;universeId=5878543726,11/6/2024 21:58
Phantom Forces,StyLiS Studios,Ages 9+,3579,5865806,1.6B+,Not Supported,Not Supported,8/31/2015,11/6/2024,32,Shooter,2M+,212K+,https://www.roblox.com/games/292439477/Phantom-Forces?gameSearchSessionInfo=a8a2a71e-99d1-400c-a1e3-fc26a605d416&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=292439477&amp;position=0&amp;universeId=113491250,11/6/2024 21:58
⚡Race Clicker,48h Games,All Ages,3450,1196441,799.6M+,Not Supported,Not Supported,4/5/2022,11/5/2024,25,Sports &amp; Racing,1M+,55K+,https://www.roblox.com/games/9285238704/Race-Clicker?gameSearchSessionInfo=fc63e390-0df2-4e3b-b59b-a45732a18a40&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9285238704&amp;position=0&amp;universeId=3476371299,11/6/2024 21:58
Five Nights TD Modded 2[🍀 OP ENCHANTS⏳],Modded FNAF Developments!,All Ages,1081,2694,3.7M+,Not Supported,Supported,10/20/2024,11/6/2024,50,N/A,2379,237,https://www.roblox.com/games/124364159073162/Five-Nights-TD-Modded-2-OP-ENCHANTS?gameSearchSessionInfo=80b48cf3-403f-4b63-b673-ff250aba2191&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=124364159073162&amp;position=0&amp;universeId=6699330337,11/6/2024 21:58
Neko Cat Amelia [AI],@imnotapolloe,All Ages,0,200,24.1K+,Not Supported,Supported,4/22/2024,9/27/2024,1,N/A,77,114,https://www.roblox.com/games/17249294136/Neko-Cat-Amelia-AI?gameSearchSessionInfo=3407c706-0627-47b0-8182-a28082a502e6&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17249294136&amp;position=0&amp;universeId=5901223679,11/6/2024 21:58
SCP Games and SCP Monsters,@lolbuih,Ages 9+,3072,575990,623.3M+,Supported,Supported,8/14/2021,11/5/2024,20,Roleplay &amp; Avatar Sim,91K+,23K+,https://www.roblox.com/games/7253149844/SCP-Games-and-SCP-Monsters?gameSearchSessionInfo=6eabb5cf-2eb0-42f7-a2fe-d956cb9a729e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7253149844&amp;position=0&amp;universeId=2827951974,11/6/2024 21:58
Last Dawn,Last Dawn Presents,All Ages,403,5844,182.5K+,Supported,Supported,10/25/2024,11/6/2024,20,N/A,1940,255,https://www.roblox.com/games/71905556130563/Last-Dawn?gameSearchSessionInfo=e4665246-e310-4954-94e2-8368f899232b&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=71905556130563&amp;position=0&amp;universeId=6715624103,11/6/2024 21:58
Mega Mansion Tycoon 🌴,Wild Atelier,All Ages,4513,1567291,1.0B+,Supported,Not Supported,12/24/2021,11/5/2024,6,Simulation,766K+,41K+,https://www.roblox.com/games/8328351891/Mega-Mansion-Tycoon?gameSearchSessionInfo=4e2b90b7-9208-4f80-a90a-facd7a3280c0&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8328351891&amp;position=0&amp;universeId=3191268194,11/6/2024 21:58
[WARSHIP!] Military Tycoon ®,InfinityInteractive,Ages 9+,4085,1734141,761.6M+,Supported,Not Supported,7/31/2021,11/4/2024,12,Simulation,1M+,100K+,https://www.roblox.com/games/7180042682/WARSHIP-Military-Tycoon?gameSearchSessionInfo=d4084730-9ce1-47d2-8c85-90516c33a1ec&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7180042682&amp;position=0&amp;universeId=2788648141,11/6/2024 21:58
