Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes
Flag Wars! [🎃 EVENT],Scriptly Studios™,Ages 9+,1852,3200172,587.1M+,Supported,Not Supported,5/25/2019,11/4/2024,14,Action,413K+,51K+
Flee the Facility,A.W. Apps,Ages 9+,11955,8927027,4.6B+,Supported,Not Supported,7/1/2017,10/25/2024,5,Survival,2M+,201K+
Flicker 💡,JJ Studios,Ages 13+,1005,2145395,755.4M+,Supported,Not Supported,1/12/2018,8/12/2024,40,Survival,561K+,50K+
Fling Things and People,@Horomori,Ages 9+,22979,1643961,1.1B+,Supported,Not Supported,6/16/2021,9/24/2024,25,Simulation,522K+,153K+
Football,@gopiye12347,All Ages,0,31,47.3K+,Not Supported,Not Supported,2/27/2024,3/25/2024,50,N/A,12,23
Football Fusion 2,XSTNS GAMES,All Ages,17232,823565,1.3B+,Supported,Not Supported,12/9/2021,11/1/2024,14,Sports &amp; Racing,569K+,114K+
Football Legacy [X2 XP⚡],Gaucho Games,All Ages,120,8150,4.8M+,Not Supported,Not Supported,11/24/2023,9/30/2024,30,Sports &amp; Racing,3522,736
Football Stars 2,Sungaze,All Ages,35,23969,13.7M+,Not Supported,Not Supported,12/6/2021,10/24/2024,40,Sports &amp; Racing,12K+,1825
FORTLINE,Battle Royalе,Ages 9+,2281,4103305,57.3M+,Not Supported,Not Supported,8/4/2023,10/9/2024,10,Shooter,9591,2894
FREE ADMIN LAND,Banana Studios Something,Ages 9+,724,3191134,40.8M+,Not Supported,Not Supported,2/12/2023,10/26/2024,11,N/A,9504,6594
Free Draw,Free Draw! Community,All Ages,2393,1055703,280.4M+,Supported,Not Supported,3/25/2018,9/12/2024,16,Party &amp; Casual,307K+,68K+
Frogge,Sleep Paralysis Demons,Ages 9+,643,970528,390.6M+,Not Supported,Not Supported,4/2/2020,12/24/2023,13,Survival,135K+,20K+
FRONTLINES,MAXIMILLIAN,Ages 13+,735,1394081,146.7M+,Supported,Not Supported,11/10/2020,10/9/2024,14,Shooter,395K+,57K+
Furry Infection game [Furinfection],Kiwi Games.,Ages 9+,1094,132016,154.3M+,Not Supported,Not Supported,8/22/2022,10/26/2024,20,Survival,20K+,9866
GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME |@all_thatr3main2|All Ages|0|2|61|Not Supported|Not Supported|12/16/2023|10/22/2024|50|N/A|2|1||11/05/2024 21:56:23,,,,,,,,,,,,,
GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME |@With_Zack|All Ages|0|16|4159|Not Supported|Not Supported|2/10/2019|2/10/2019|10|N/A|3|1||11/05/2024 21:56:41,,,,,,,,,,,,,
GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME |@With_Zack|All Ages|0|17|13.7K+|Not Supported|Not Supported|2/10/2019|2/10/2019|10|N/A|3|6||11/05/2024 21:56:34,,,,,,,,,,,,,
GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME |@With_Zack|All Ages|0|20|7915|Not Supported|Not Supported|2/9/2019|2/9/2019|10|N/A|3|6||11/05/2024 21:56:43,,,,,,,,,,,,,
GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME|Teleportation!!!|All Ages|0|139|24.0K+|Not Supported|Not Supported|11/20/2017|11/20/2017|10|N/A|8|29||11/05/2024 21:56:37,,,,,,,,,,,,,
game game game game|@will_smithboy|All Ages|0|0|97|Not Supported|Not Supported|10/23/2023|10/23/2023|50|N/A|0|2||11/05/2024 21:55:48,,,,,,,,,,,,,
Garden Defense!🧟‍♂️,TD Creation,All Ages,3550,398533,19.9M+,Supported,Supported,9/4/2024,11/3/2024,22,N/A,10K+,3116
GARENA FREE FIRE MAX🏆,DREAM BigGames!!,Ages 9+,750,854892,13.5M+,Not Supported,Not Supported,2/26/2023,10/25/2024,15,Shooter,4039,641
Garten of Banban,Jule Games x Euphoric Bros,All Ages,1021,318028,253.2M+,Supported,Supported,2/6/2023,10/22/2024,35,Adventure,139K+,21K+
GEF,mPhase,Ages 13+,1953,3443379,94.9M+,Supported,Supported,10/22/2023,11/3/2024,10,Survival,91K+,19K+
Generic Cooking Game [BETA][UPD2.16] ,Hexbit Studios,All Ages,724,454460,55.8M+,Not Supported,Not Supported,4/14/2023,11/1/2024,6,Simulation,77K+,7567
Generic Cooking Game [Legacy],Hexbit Studios,All Ages,0,317,61.2K+,Not Supported,Not Supported,6/8/2024,6/8/2024,6,N/A,69,23
Get Fat And Roll Race,pug x axel,All Ages,983,84207,46.2M+,Not Supported,Not Supported,8/19/2023,10/12/2024,8,Simulation,54K+,6170
Getting Over it[Remastered]🔨,@yaseenrahmanking,All Ages,241,93021,47.6M+,Supported,Not Supported,2/11/2023,8/11/2024,20,Obby &amp; Platformer,40K+,77K+
Glow Up Tycoon 🌟,Monthly Productions,All Ages,723,8973,1.6M+,Supported,Supported,7/23/2024,11/1/2024,6,N/A,13K+,1081
Go Flying!,How far can you...,All Ages,665,44265,36.3M+,Not Supported,Not Supported,8/4/2023,10/17/2024,25,Simulation,70K+,1929
Good Girls Sorority,@fentyduh,All Ages,1178,1577164,643.7M+,Supported,Not Supported,5/26/2016,9/26/2021,20,Roleplay &amp; Avatar Sim,203K+,51K+
Goofy Gods ⚡️,Absolute Zero!,Ages 9+,1181,113352,68.2M+,Supported,Not Supported,5/10/2023,10/10/2024,14,Survival,42K+,8262
Grab! [2 Player Obby],Metavoxel Studios,All Ages,949,122486,5.4M+,Supported,Not Supported,8/14/2024,11/4/2024,26,N/A,1624,574
Grandma [HORROR],Astra's Army,All Ages,142,207981,32.3M+,Supported,Not Supported,4/16/2023,10/6/2024,10,Survival,26K+,15K+
Gravity [2 Player Obby],Badass Experiences,All Ages,346,3294081,86.8M+,Supported,Not Supported,6/11/2023,9/26/2024,24,Obby &amp; Platformer,110K+,8388
GREAT SCHOOL BREAKOUT,Wilson Iq Obby,All Ages,0,4,6959,Supported,Supported,8/26/2024,8/26/2024,50,N/A,0,1
GREAT SCHOOL BREAKOUT! (First Person Obby),@PlatinumFalls,All Ages,1513,349951,674.6M+,Supported,Not Supported,3/14/2022,8/20/2023,10,Obby &amp; Platformer,80K+,78K+
GRUMPY GRAN! (SCARY OBBY),@PlatinumFalls,All Ages,1697,267032,469.8M+,Not Supported,Not Supported,4/15/2022,9/18/2023,10,Obby &amp; Platformer,63K+,34K+
Guerra de Torres,@elgaga,Ages 9+,959,415376,285.3M+,Supported,Not Supported,11/10/2018,10/11/2024,8,Action,105K+,35K+
Guess Basketball Players or Die,TravelStudio,All Ages,4,27,44.2K+,Not Supported,Supported,9/27/2024,10/31/2024,8,N/A,15,8
