Title,Creator,Age Recommendation,Active,Favorites,Visits,Voice Chat,Camera,Created,Updated,Server Size,Genre
 Sol's RNG [Era 9],sol's studio,All Ages,23099,635011,765.0M+,Supported,Not Supported,12/3/2023,11/3/2024,20,Simulation
🎃 Hide or Die!,0 CCU Games,All Ages,26607,1698129,49.7M+,Supported,Supported,8/4/2024,11/3/2024,16,Party &amp; Casual
Build A Boat For Treasure,Chillz Studios,All Ages,37481,7642649,4.1B+,Supported,Not Supported,11/2/2016,3/1/2024,7,Simulation
Metro Life 🎃 City RP,Century Creators,All Ages,41356,24547742,1.0B+,Supported,Supported,4/3/2023,11/1/2024,23,Roleplay &amp; Avatar Sim
Ultimate Battlegrounds,By,Ages 9+,15704,356700,201.4M+,Supported,Not Supported,12/14/2022,11/3/2024,15,Action
Banana Eats 🎃,@RyCitrus,Ages 9+,4359,1792225,692.0M+,Supported,Not Supported,11/23/2019,11/2/2024,10,Survival
Deepwoken 🎃 [SALE],Vows by the Sea,Ages 13+,25908,786572,1.0B+,Supported,Not Supported,10/13/2019,11/1/2024,30,RPG
[🎃UPDATE] Grand Piece Online,Grand Quest Games,Ages 9+,25598,1420422,1.0B+,Supported,Not Supported,5/7/2018,11/2/2024,1,RPG
Gacha Online 🍭 RP [TRICK OR TREAT 🎃],@SnowdustDev,All Ages,22002,2438910,2.5B+,Not Supported,Not Supported,7/5/2020,10/31/2024,45,Roleplay &amp; Avatar Sim
[MYTHICAL WOLF] Fruit Battlegrounds,P O P O,Ages 9+,13554,785675,643.9M+,Supported,Not Supported,3/29/2022,10/30/2024,20,Action
Shindo Life [238],RELL World,Ages 9+,18438,2939517,2.4B+,Not Supported,Not Supported,1/21/2020,8/10/2024,5,RPG
[🎃 EVENT] Driving Empire 🏎️ Car Racing,Driving Empire by Voldex,All Ages,22818,13699578,1.6B+,Supported,Not Supported,6/23/2019,11/2/2024,25,Simulation
Block Tales [Demo 3],Spaceman Moonbase,All Ages,8031,365925,31.8M+,Not Supported,Not Supported,2/23/2024,10/26/2024,16,RPG
The Haunt,Roblox Presents,All Ages,517,99720,53.2M+,Supported,Supported,9/20/2024,11/2/2024,20,Entertainment
3008 [2.73],@uglyburger0,All Ages,39646,4840726,2.3B+,Supported,Supported,1/20/2019,11/2/2024,16,Survival
Jailbreak 🍁,Badimo,All Ages,24032,18274028,7.1B+,Supported,Supported,1/7/2017,10/23/2024,28,Action
PLS DONATE 💸,@haz3mn,All Ages,20949,3071360,2.8B+,Supported,Supported,2/5/2022,10/29/2024,28,Social
🍁SZN 38 Dragon Adventures 🐉 Fantasy Pets ✨,Sonar Studios,All Ages,17235,6449593,1.0B+,Not Supported,Not Supported,7/16/2019,11/2/2024,20,RPG
[UPDATE 4] Meme Sea,Meme Sea Group,Ages 9+,18742,296430,416.7M+,Supported,Not Supported,7/18/2022,10/17/2024,12,RPG
[UPGRADE] BARRY'S PRISON RUN! (OBBY),@PlatinumFalls,All Ages,28858,1196477,2.8B+,Supported,Supported,2/3/2022,11/1/2024,12,Obby &amp; Platformer
Fling Things and People,@Horomori,Ages 9+,27799,1643469,1.1B+,Supported,Not Supported,6/16/2021,9/24/2024,25,Simulation
Flee the Facility,A.W. Apps,Ages 9+,15528,8926518,4.6B+,Supported,Not Supported,7/1/2017,10/25/2024,5,Survival
a dusty trip [📜QUEST],Jandel's Road Trip,All Ages,24518,1232253,1.1B+,Supported,Supported,2/16/2024,11/3/2024,25,Adventure
[🎃Shadow🎃] Sonic Evocative: Remake   ,Tails Team Roblox Official,All Ages,333,1393,3.0M+,Not Supported,Supported,6/29/2024,10/31/2024,50,Simulation
⭐ ZENVO! Car Dealership Tycoon,Foxzie,All Ages,21930,3100276,2.0B+,Not Supported,Not Supported,3/27/2018,11/3/2024,15,Simulation
Murderers VS Sheriffs Duels,Red21 Games,All Ages,22429,679991,1.0B+,Supported,Not Supported,2/2/2023,10/28/2024,41,Action
🔪Survive the Killer!,Slyce Entertainment,Ages 9+,13242,3830605,2.1B+,Supported,Supported,1/7/2020,10/29/2024,13,Survival
[Raider X] War Tycoon,Green Titans Entertainment,Ages 9+,19332,2432208,570.1M+,Supported,Not Supported,1/29/2020,11/3/2024,16,Simulation
Gym League 🎃,1v2 Studios,All Ages,19402,3783640,382.5M+,Supported,Supported,5/11/2024,10/28/2024,8,Simulation
Death Ball,Anime Boys Developers,Ages 9+,19317,1068398,818.5M+,Supported,Not Supported,10/8/2023,10/28/2024,14,Action
 [HALLOWEEN 🎃] The Mimic,CTStudio,Ages 13+,5355,2910633,987.7M+,Supported,Not Supported,1/15/2021,11/3/2024,45,Survival
🎃 Arm Wrestle Simulator,Kubo Games,All Ages,16795,898861,1.0B+,Supported,Not Supported,4/15/2023,11/3/2024,9,Simulation
[RANKED + MORE] Frisbee Frenzy,johnny cage fan group,All Ages,450,20216,1.4M+,Supported,Not Supported,10/26/2023,11/3/2024,8,N/A
Rainbow Friends,Roy &amp; Charcle,All Ages,24993,3196064,3.7B+,Not Supported,Not Supported,11/14/2021,5/22/2024,50,Adventure
Livetopia 🎃 Halloween,Century Makers,All Ages,20915,28320219,4.7B+,Not Supported,Not Supported,4/28/2021,11/1/2024,17,Roleplay &amp; Avatar Sim
Football Fusion 2,XSTNS GAMES,All Ages,11475,823353,1.3B+,Supported,Not Supported,12/9/2021,11/1/2024,14,Sports &amp; Racing
Bayside High School 🍎,Double Bandit Studios,All Ages,14036,474409,434.1M+,Supported,Not Supported,2/28/2023,11/2/2024,30,Roleplay &amp; Avatar Sim
