Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Just Build!,Awesome Fun Games,All Ages,1172,341807,5.2M+,Supported,Supported,10/1/2024,10/30/2024,8,N/A,6653,471,https://www.roblox.com/games/103684196891735/Just-Build?gameSearchSessionInfo=a0b89d19-db57-4536-8ee1-ed9f216d210e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=103684196891735&amp;position=0&amp;universeId=6621384161,11/5/2024 23:08
just daytona. (9 NEW CARS),@vouthin,All Ages,759,113212,47.4M+,Supported,Not Supported,2/19/2022,10/11/2024,15,Simulation,32K+,5593,https://www.roblox.com/games/8867129986/just-daytona-9-NEW-CARS?gameSearchSessionInfo=ea1cad6e-2717-4cb6-8a28-3293fd2759eb&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8867129986&amp;position=0&amp;universeId=3354479870,11/5/2024 23:08
Kart Racing Simulator,OwlVision,All Ages,383,930894,15.4M+,Supported,Supported,7/4/2024,11/4/2024,8,Simulation,174K+,3418,https://www.roblox.com/games/18330731307/Kart-Racing-Simulator?gameSearchSessionInfo=8325f2f1-162c-441d-8e34-8eb6a0aac719&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18330731307&amp;position=0&amp;universeId=6214293009,11/5/2024 23:08
KAT,@Fierzaa,All Ages,816,4175788,1.4B+,Not Supported,Not Supported,1/21/2017,9/21/2024,14,Action,1M+,223K+,https://www.roblox.com/games/621129760/KAT?gameSearchSessionInfo=4e65ccc3-3b7e-4b40-a941-3830f44336fe&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=621129760&amp;position=0&amp;universeId=254394801,11/5/2024 23:09
Kill Realistic NPCs simulator [🌪️],Projexus,Ages 13+,246,8399,923.7K+,Supported,Supported,8/24/2024,11/5/2024,3,N/A,1762,550,https://www.roblox.com/games/109608728691401/Kill-Realistic-NPCs-simulator?gameSearchSessionInfo=e58f3e57-8072-4512-a6fe-b5755e8ed873&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=109608728691401&amp;position=0&amp;universeId=6459690442,11/5/2024 23:09
Kitten Game 🐾,@Bro_IsThisReal,All Ages,5953,377396,269.4M+,Not Supported,Not Supported,5/19/2023,11/5/2024,40,Roleplay &amp; Avatar Sim,123K+,11K+,https://www.roblox.com/games/13482468151/Kitten-Game?gameSearchSessionInfo=2767389a-76a8-44b6-bbc1-124cb8a02c3b&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13482468151&amp;position=0&amp;universeId=4689722433,11/5/2024 23:09
Kitty All Maps,GabStudio,All Ages,515,2001990,1.4B+,Supported,Not Supported,5/8/2020,9/23/2024,6,Survival,411K+,66K+,https://www.roblox.com/games/5002210114/Kitty-All-Maps?gameSearchSessionInfo=ad583af6-ff14-444d-a31e-5da047d275db&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5002210114&amp;position=0&amp;universeId=1724021330,11/5/2024 23:09
Knock the Blocks,@Ryguy903,All Ages,778,14982,12.7M+,Supported,Not Supported,7/9/2024,11/2/2024,20,Survival,4470,3852,https://www.roblox.com/games/18403789061/Knock-the-Blocks?gameSearchSessionInfo=6466ec29-2fb3-4f7e-9e76-dd0ccd015ede&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18403789061&amp;position=0&amp;universeId=6238541028,11/5/2024 23:09
Korean BBQ Restaurant! [Preparing for a remake...],다양한 음식점들,All Ages,117,631484,85.3M+,Supported,Not Supported,2/22/2021,10/19/2024,30,Roleplay &amp; Avatar Sim,108K+,7738,https://www.roblox.com/games/6430630495/Korean-BBQ-Restaurant-Preparing-for-a-remake?gameSearchSessionInfo=4bd4ea9e-9d32-4ba9-8ec2-8d0308bc4861&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6430630495&amp;position=0&amp;universeId=2394934836,11/5/2024 23:09
Da Bot Aim Trainer [TRAIN ON BOTS),Vοid Falls,All Ages,217,93,137.1K+,Supported,Supported,11/3/2024,11/5/2024,18,N/A,90,28,https://www.roblox.com/games/120182610838514/Da-Bot-Aim-Trainer-TRAIN-ON-BOTS?gameSearchSessionInfo=39c55859-20c3-4d73-b3f2-c014f88a2d6c&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=120182610838514&amp;position=0&amp;universeId=6752027776,11/5/2024 23:09
